time,gx,gy,gz,leftPWM,rightPWM
1760091206.3590987,0,0,0,80,80
1760091206.7140524,0,0,0,80,80
1760091206.7363389,0,0,0,80,80
1760091206.765759,0,0,0,80,80
1760091206.80576,0,0,0,80,80
1760091206.8399723,0,0,0,80,80
1760091206.8478243,0,0,0,80,80
1760091206.9145646,0,0,0,80,80
1760091206.9287748,0,0,0,80,80
1760091206.9422538,0,0,0,80,80
1760091206.9621434,0,0,0,80,80
1760091206.9742088,0,0,0,80,80
1760091206.9864407,0,0,0,80,80
1760091206.9932132,0,0,0,80,80
1760091207.0012248,0,0,0,80,80
1760091207.0328908,0,0,0,80,80
1760091207.0612764,0,0,0,80,80
1760091207.0884974,0,0,0,80,80
1760091207.1176696,0,0,0,80,80
1760091207.1284392,0,0,0,80,80
1760091207.1341822,0,0,0,80,80
1760091207.1554487,0,0,0,80,80
1760091207.1609342,0,0,0,80,80
1760091207.1684947,0,0,0,80,80
1760091207.1802235,0,0,0,80,80
1760091207.1945443,0,0,0,80,80
1760091207.2080834,0,0,0,80,80
1760091207.2430313,0,0,0,80,80
1760091207.2759047,0,0,0,80,80
1760091207.311118,0,0,0,80,80
1760091207.3425665,0,0,0,80,80
1760091207.4709966,0,0,0,80,80
1760091207.4829805,0,0,0,80,80
1760091207.493655,0,0,0,80,80
1760091207.5116417,0,0,0,80,80
1760091207.5214014,0,0,0,80,80
1760091207.6004057,0,0,0,80,80
1760091207.6456058,0,0,0,80,80
1760091207.6541142,0,0,0,80,80
1760091207.685815,0,0,0,80,80
1760091207.7115335,0,0,0,80,80
1760091207.7215524,0,0,0,80,80
1760091207.750165,0,0,0,80,80
1760091207.7799416,0,0,0,80,80
1760091207.8106952,0,0,0,80,80
1760091207.8536522,0,0,0,80,80
1760091207.88179,0,0,0,80,80
1760091207.9110603,0,0,0,80,80
1760091207.9489946,0,0,0,80,80
1760091207.9812615,0,0,0,80,80
1760091208.0121944,0,0,0,80,80
1760091208.0473776,0,0,0,80,80
1760091208.0838375,0,0,0,80,80
1760091208.1106536,0,0,0,80,80
1760091208.1428995,0,0,0,80,80
1760091208.1904848,0,0,0,80,80
1760091208.2143168,0,0,0,80,80
1760091208.2499769,0,0,0,80,80
1760091208.2859676,0,0,0,80,80
1760091208.33876,0,0,0,80,80
1760091208.396565,0,0,0,80,80
1760091208.4143798,0,0,0,80,80
1760091208.444309,0,0,0,80,80
1760091208.4811196,0,0,0,80,80
1760091208.5096495,0,0,0,80,80
1760091208.545857,0,0,0,80,80
1760091208.5858586,0,0,0,80,80
1760091208.6159315,0,0,0,80,80
1760091208.6410701,0,0,0,80,80
1760091208.6856763,0,0,0,80,80
1760091208.7227097,0,0,0,80,80
1760091208.7442613,0,0,0,80,80
1760091208.7770636,0,0,0,80,80
1760091208.8212721,0,0,0,80,80
1760091208.8493402,0,0,0,80,80
1760091208.8814518,0,0,0,80,80
1760091208.9279995,0,0,0,80,80
1760091208.9453366,0,0,0,80,80
1760091208.9975936,0,0,0,80,80
1760091209.0174396,0,0,0,80,80
1760091209.0482514,0,0,0,80,80
1760091209.0783353,0,0,0,80,80
1760091209.1198347,0,0,0,80,80
1760091209.1473663,0,0,0,80,80
1760091209.17953,0,0,0,80,80
1760091209.2108035,0,0,0,80,80
1760091209.2505279,0,0,0,80,80
1760091209.2954676,0,0,0,80,80
1760091209.310292,0,0,0,80,80
1760091209.3620412,0,0,0,80,80
1760091209.3848884,0,0,0,80,80
1760091209.4512718,0,0,0,80,80
1760091209.4738321,0,0,0,80,80
1760091209.5097473,0,0,0,80,80
1760091209.5375888,0,0,0,80,80
1760091209.5469873,0,0,0,80,80
1760091209.5884802,0,0,0,80,80
1760091209.6106014,0,0,0,80,80
1760091209.6452494,0,0,0,80,80
1760091209.6835387,0,0,0,80,80
1760091209.7229552,0,0,0,80,80
1760091209.7696064,0,0,0,80,80
1760091209.7839801,0,0,0,80,80
1760091209.810226,0,0,0,80,80
1760091209.8583746,0,0,0,80,80
1760091209.8990204,0,0,0,80,80
1760091209.9197974,0,0,0,80,80
1760091209.9631543,0,0,0,80,80
1760091210.0173657,0,0,0,80,80
1760091210.026377,0,0,0,80,80
1760091210.0854104,0,0,0,80,80
1760091210.1395223,0,0,0,80,80
1760091210.16092,0,0,0,80,80
1760091210.1847181,0,0,0,80,80
1760091210.2142491,0,0,0,80,80
1760091210.2505453,0,0,0,80,80
1760091210.2844849,0,0,0,80,80
1760091210.3091125,0,0,0,80,80
1760091210.348524,0,0,0,80,80
1760091210.379791,0,0,0,80,80
1760091210.4155748,0,0,0,80,80
1760091210.4654555,0,0,0,80,80
1760091210.4889643,0,0,0,80,80
1760091210.5199802,0,0,0,80,80
1760091210.5501933,0,0,0,80,80
1760091210.590969,0,0,0,80,80
1760091210.6146626,0,0,0,80,80
1760091210.648786,0,0,0,80,80
1760091210.6770768,0,0,0,80,80
1760091210.718144,0,0,0,80,80
1760091210.7416193,0,0,0,80,80
1760091210.7784727,0,0,0,80,80
1760091210.8257632,0,0,0,80,80
1760091210.8590305,0,0,0,80,80
1760091210.8744154,0,0,0,80,80
1760091210.9122512,0,0,0,80,80
1760091210.9607553,0,0,0,80,80
1760091210.9903412,0,0,0,80,80
1760091211.0143738,0,0,0,80,80
1760091211.0683224,0,0,0,80,80
1760091211.093952,0,0,0,80,80
1760091211.140241,0,0,0,80,80
1760091211.1472385,0,0,0,80,80
1760091211.189853,0,0,0,80,80
1760091211.2202606,0,0,0,80,80
1760091211.256015,0,0,0,80,80
1760091211.275157,0,0,0,80,80
1760091211.3077233,0,0,0,80,80
1760091211.3447826,0,0,0,80,80
1760091211.3903997,0,0,0,80,80
1760091211.4133506,0,0,0,80,80
1760091211.4522285,0,0,0,80,80
1760091211.491074,0,0,0,80,80
