timestamp,command
1760168428.612966,F
1760168429.095815,L
1760168429.240847,F
1760168430.300254,R
1760168430.449021,F
1760168430.7728593,L
1760168430.930562,F
1760168432.830693,L
1760168433.0319211,F
1760168433.5393043,L
1760168433.8632593,F
1760168434.3312197,L
1760168434.6972306,F
1760168435.0639398,L
1760168435.2949872,F
1760168435.7720957,L
1760168435.9326334,F
1760168436.3961084,L
1760168436.597868,F
1760168437.5954764,L
1760168437.6714168,F
1760168437.734824,L
1760168437.7832942,F
1760168438.4977238,L
1760168438.6627398,F
1760168439.1311052,R
1760168439.2078435,F
1760168441.0327673,L
1760168441.1963768,F
1760168441.9306579,R
1760168442.028327,F
1760168443.9623344,L
1760168444.0977635,F
1760168448.999447,S
1760168509.456823,F
1760168509.80428,R
1760168509.8203266,F
1760168512.348554,L
1760168512.508102,F
1760168513.7063024,R
1760168513.840599,F
1760168514.4440095,L
1760168514.6083522,F
1760168515.6472661,R
1760168515.7735357,F
1760168516.505061,L
1760168516.639672,F
1760168518.9405885,S
1760168519.109862,F
1760168519.2385185,S
1760168519.3145535,F
1760168522.477943,R
1760168522.7054741,F
1760168523.3407483,R
1760168523.6723385,F
1760168523.8409421,L
1760168523.87489,S
1760168524.0381885,F
1760168524.2726629,R
1760168524.5067415,F
1760168524.8084013,R
1760168525.0388231,F
1760168525.5047884,R
1760168525.704124,F
1760168526.8710806,R
1760168527.003963,F
1760168528.907766,S
